SubjectID TrialNum Amplitude Width StartPos TargetPos Time Success CursorPos (x, y)
13 1 555 100 (869,508) (360,286) 2216 1 (379,299)
13 1 555 100 (869,508) (360,286) 2236 1 (379,299)
13 1 555 100 (869,508) (360,286) 2244 1 (379,299)
13 1 555 100 (869,508) (360,286) 2264 1 (379,299)
13 1 555 100 (869,508) (360,286) 2274 1 (379,299)
13 1 555 100 (869,508) (360,286) 2291 1 (379,299)
13 1 555 100 (869,508) (360,286) 2306 1 (379,299)
13 1 555 100 (869,508) (360,286) 2330 1 (379,299) ß-- cursor position when the target is clicked
13 2 444 100 (382,223) (743,483) 19 1 (378,227) ß-- cursor position when the start button is clicked.
13 2 444 100 (382,223) (743,483) 38 1 (378,227)
13 2 444 100 (382,223) (743,483) 46 1 (378,227)
13 2 444 100 (382,223) (743,483) 65 1 (378,227)
13 2 444 100 (382,223) (743,483) 85 1 (378,227)
13 2 444 100 (382,223) (743,483) 93 1 (378,227)
13 2 444 100 (382,223) (743,483) 129 1 (383,229)
13 2 444 100 (382,223) (743,483) 138 1 (389,231)
13 2 444 100 (382,223) (743,483) 158 1 (418,244)
13 2 444 100 (382,223) (743,483) 178 1 (441,255)
13 2 444 100 (382,223) (743,483) 186 1 (470,268)
13 2 444 100 (382,223) (743,483) 206 1 (529,300)
13 2 444 100 (382,223) (743,483) 233 1 (587,340)
13 2 444 100 (382,223) (743,483) 252 1 (613,357)
13 2 444 100 (382,223) (743,483) 272 1 (651,385)
13 2 444 100 (382,223) (743,483) 281 1 (666,397)
13 2 444 100 (382,223) (743,483) 294 1 (681,407)
13 2 444 100 (382,223) (743,483) 314 1 (697,421)
13 2 444 100 (382,223) (743,483) 327 1 (705,427)
13 2 444 100 (382,223) (743,483) 342 1 (712,434)
13 2 444 100 (382,223) (743,483) 361 1 (718,440)
13 2 444 100 (382,223) (743,483) 373 1 (718,440)
13 2 444 100 (382,223) (743,483) 393 1 (718,440)
13 2 444 100 (382,223) (743,483) 403 1 (718,440)
13 2 444 100 (382,223) (743,483) 419 1 (718,440)
13 2 444 100 (382,223) (743,483) 439 1 (718,440)
13 2 444 100 (382,223) (743,483) 451 1 (718,440)
13 2 444 100 (382,223) (743,483) 466 1 (718,440)
13 2 444 100 (382,223) (743,483) 486 1 (718,440)
13 2 444 100 (382,223) (743,483) 506 1 (718,440)
13 2 444 100 (382,223) (743,483) 514 1 (718,440)
13 2 444 100 (382,223) (743,483) 534 1 (718,440)
13 2 444 100 (382,223) (743,483) 544 1 (718,440)
13 2 444 100 (382,223) (743,483) 560 1 (718,440)
13 2 444 100 (382,223) (743,483) 579 1 (718,440)
13 2 444 100 (382,223) (743,483) 608 1 (723,446)
13 2 444 100 (382,223) (743,483) 627 1 (729,452)
13 2 444 100 (382,223) (743,483) 639 1 (737,460)
13 2 444 100 (382,223) (743,483) 654 1 (761,478)
13 2 444 100 (382,223) (743,483) 673 1 (770,485)
13 2 444 100 (382,223) (743,483) 693 1 (780,493)
13 2 444 100 (382,223) (743,483) 700 1 (780,493)
13 2 444 100 (382,223) (743,483) 720 1 (782,494)
13 2 444 100 (382,223) (743,483) 740 1 (783,495)
13 2 444 100 (382,223) (743,483) 749 1 (783,495)
13 2 444 100 (382,223) (743,483) 768 1 (783,495)
13 2 444 100 (382,223) (743,483) 778 1 (783,495)
13 2 444 100 (382,223) (743,483) 794 1 (783,495)
13 2 444 100 (382,223) (743,483) 814 1 (783,495)
13 2 444 100 (382,223) (743,483) 825 1 (783,495)
13 2 444 100 (382,223) (743,483) 841 1 (783,495)
13 2 444 100 (382,223) (743,483) 861 1 (783,495)
13 2 444 100 (382,223) (743,483) 871 1 (783,495)
13 2 444 100 (382,223) (743,483) 888 1 (783,495)
13 2 444 100 (382,223) (743,483) 908 1 (783,495)
13 2 444 100 (382,223) (743,483) 927 1 (783,495)
13 2 444 100 (382,223) (743,483) 935 1 (783,495)
